Sl. No.,Component,Specification,Qty,Unit Price (₹),Total (₹)
1,Arduino Nano,ATmega328P R3 Development Board,1,299,299
2,SIM800L GSM Module,"GPRS/GSM Quad-Band, TTL Serial, Antenna",1,"1,186","1,186"
3,Infrared Flame Sensor,"IR Flame Detection Module",1,68,68
4,Buzzer,Active Buzzer,1,178,178
5,18650 Li-ion Battery,3.7V Rechargeable,1,85,85
6,Jumper Wires,"Male-Female / Dupont Wires",15,4,60
7,Breadboard,830 Point Solderless Breadboard,1,158,158
,Total,,,,"2,034"
